incident_id,status,created,configuration_item,description_and_note
INC0042001,Closed,2026-03-04 09:12:00,CGP production,"DRAGEN DNA alignment failed for run 250304_NB551234_0098_AH7K2BGXM, sample CGP-0011: insufficient disk space on /scratch (0 bytes free). Resolution: purged orphaned DRAGEN map/sort intermediates and extended /scratch LVM volume by 2 TB; restarted failed stage, run completed successfully. Added Nagios alert at 85% /scratch utilization."
INC0042002,Closed,2026-03-07 14:40:00,CGP production,"Nirvana annotation crashed with java.lang.OutOfMemoryError - Java heap space exceeded at 16GB, sample CGP-0019. Resolution: increased annotation JVM -Xmx from 16GB to 32GB in pipeline config and requeued the quarantined sample; annotation completed on retry. Documented heap sizing for large variant sets."
INC0042003,Closed,2026-03-11 08:05:00,CGP production,"DRAGEN BCL Convert failed for run 250311_M02158_0204_000000000-ABCDE: RunInfo.xml not found, run folder may be incomplete. Root cause: copyComplete.txt written before sequencer finished transfer to NFS. Resolution: lab re-staged the run folder, confirmed RunInfo.xml and RTAComplete.txt present, reran analysis. Watcher updated to also require RTAComplete.txt before launch."
INC0042004,Closed,2026-03-13 22:18:00,CGP production,"DRAGEN alignment halted for run 250313_A00521_0151_BH9LMDSXY: GRCh38 reference index corrupted, .bwt file checksum mismatch. Resolution: re-staged GRCh38 DRAGEN hash table from internal mirror, verified MD5 checksum, resumed alignment. Scheduled weekly reference integrity verification job."
INC0042005,Closed,2026-03-15 23:55:00,CGP production,"Compute node compute-07 lost during run 250315_A00521_0152_BHA2LDSXY; 4 sample jobs killed. Root cause: ECC memory failure on the node. Resolution: cordoned and drained compute-07, scheduler requeued jobs on healthy nodes, run finished. Node sent to hardware vendor for DIMM replacement."
INC0042006,Closed,2026-03-18 09:30:00,CGP production,"Sample CGP-0042 from run 250318_A00521_0153_BHB7LDSXY failed QC: GC content 68% indicates possible bacterial contamination. Resolution: sample flagged and excluded; run continued for remaining libraries. Lab re-extracted from a fresh FFPE curl per TSO 500 Reference Guide (min 2 mm3 tissue) and reprocessed under a new accession."
INC0042007,Closed,2026-03-20 11:00:00,HayStack MRD production,"HayStack MRD ctDNA assay reporting reduced sensitivity at low tumor fraction; background error rate elevated. Resolution: re-baselined the patient-specific panel against the matched germline normal and refreshed the error-suppression model; sensitivity restored within LOD spec."
INC0042008,Closed,2026-03-22 16:20:00,CGP production,"Outbound result delivery for run 250322_NB551234_0101_AHC3BGXM failed via nginx after 3 attempts (HTTP 502/504/503); task stuck in PENDING_REPORT. Root cause: reporting tool pod OOMKilled. Resolution: increased reporting tool memory limit and restarted deployment; CGP outbound retry queue redelivered the result, report generated (reportId RPT-43110)."
INC0042009,Closed,2026-03-25 08:45:00,CGP production,"Result POST rejected by nginx for run 250325_M02158_0207_000000000-FGHIJ: HTTP 401 Unauthorized, service token expired. Resolution: rotated the CGP service account token in the secrets vault and reloaded the pipeline credential; redelivery succeeded. Added token-expiry alert 7 days ahead."
INC0042010,Closed,2026-03-27 13:10:00,CGP production,"Result POST failed for run 250327_NB551234_0103_AHD4BGXM: HTTP 404 Not Found via nginx, endpoint /api/v1/results not routed. Root cause: nginx location block dropped during an unrelated config change. Resolution: restored the /api/v1/results location and reloaded nginx; queued result redelivered. Added config validation to CI before nginx reload."
